notification_date,qtd
2010-01-31,152
2010-02-28,161
2010-03-31,189
2010-04-30,196
2010-05-31,217
2010-06-30,191
2010-07-31,249
2010-08-31,318
2010-09-30,359
2010-10-31,373
2010-11-30,445
2010-12-31,409
2011-01-31,540
2011-02-28,572
2011-03-31,732
2011-04-30,664
2011-05-31,627
2011-06-30,667
2011-07-31,566
2011-08-31,715
2011-09-30,830
2011-10-31,834
2011-11-30,802
2011-12-31,845
2012-01-31,0
2012-02-29,0
2012-03-31,0
2012-04-30,0
2012-05-31,0
2012-06-30,0
2012-07-31,0
2012-08-31,0
2012-09-30,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-31,0
2013-04-30,0
2013-05-31,0
2013-06-30,0
2013-07-31,0
2013-08-31,0
2013-09-30,0
2013-10-31,0
2013-11-30,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-31,0
2014-06-30,0
2014-07-31,0
2014-08-31,0
2014-09-30,0
2014-10-31,0
2014-11-30,0
2014-12-31,0
2015-01-31,0
2015-02-28,0
2015-03-31,0
2015-04-30,0
2015-05-31,0
2015-06-30,0
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-31,0
2015-11-30,0
2015-12-31,0
2016-01-31,0
2016-02-29,0
2016-03-31,0
2016-04-30,0
2016-05-31,0
2016-06-30,0
2016-07-31,0
2016-08-31,0
2016-09-30,0
2016-10-31,0
2016-11-30,0
2016-12-31,0
2017-01-31,0
2017-02-28,0
2017-03-31,0
2017-04-30,0
2017-05-31,0
2017-06-30,0
2017-07-31,0
2017-08-31,0
2017-09-30,0
2017-10-31,0
2017-11-30,0
2017-12-31,0
2018-01-31,0
2018-02-28,0
2018-03-31,0
2018-04-30,0
2018-05-31,0
2018-06-30,0
2018-07-31,0
2018-08-31,0
2018-09-30,0
2018-10-31,0
2018-11-30,0
2018-12-31,0
2019-01-31,0
2019-02-28,0
2019-03-31,0
2019-04-30,0
2019-05-31,0
2019-06-30,0
2019-07-31,0
2019-08-31,0
2019-09-30,0
2019-10-31,0
2019-11-30,0
2019-12-31,0
2020-01-31,2300
2020-02-29,2224
2020-03-31,1810
2020-04-30,1624
2020-05-31,1562
2020-06-30,1497
2020-07-31,1602
2020-08-31,1571
2020-09-30,1851
2020-10-31,1831
2020-11-30,1823
2020-12-31,1454
2021-01-31,0
2021-02-28,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-31,0
2021-08-31,0
2021-09-30,0
2021-10-31,0
2021-11-30,0
2021-12-31,0
2022-01-31,1786
2022-02-28,1712
2022-03-31,2198
2022-04-30,1941
2022-05-31,1888
2022-06-30,1686
2022-07-31,1908
2022-08-31,2119
2022-09-30,2194
2022-10-31,2387
2022-11-30,2268
2022-12-31,2066
